,ii,v6,vz
0,[-2.7415 -2.741  -2.739  ...  1.352   1.352   1.35  ],[ 0.5495  0.5485  0.5485 ... -0.654  -0.654  -0.657 ],[ 3.3875  3.387   3.3855 ... -1.994  -1.995  -1.991 ]
1,[-0.3175 -0.317  -0.315  ...  0.1635  0.1615  0.166 ],[ 0.274   0.276   0.2785 ... -0.1335 -0.1335 -0.134 ],[-1.641  -1.645  -1.6425 ...  1.8345  1.833   1.8295]
2,[-1.0505 -1.0505 -1.055  ...  3.232   3.2355  3.2395],[-0.1975 -0.205  -0.1985 ...  1.578   1.578   1.577 ],[ 0.6005  0.613   0.607  ... -1.0555 -1.058  -1.05  ]
3,[ 1.99    1.987   1.9875 ... -3.272  -3.273  -3.2755],[-0.777  -0.776  -0.781  ...  0.6045  0.601   0.604 ],[1.424  1.4165 1.417  ... 0.244  0.2415 0.242 ]
4,[-0.128 -0.126 -0.122 ...  0.37   0.371  0.372],[ 0.617   0.6175  0.6155 ... -0.5945 -0.593  -0.594 ],[-1.2095 -1.204  -1.1915 ...  0.163   0.1665  0.17  ]
5,[-1.0115 -1.01   -1.011  ... -0.1805 -0.1825 -0.1875],[-0.063  -0.0615 -0.061  ... -0.366  -0.364  -0.363 ],[3.8995 3.903  3.902  ... 0.2675 0.27   0.271 ]
6,[-0.015  -0.023  -0.0345 ...  0.1845  0.179   0.1755],[ 0.9025  0.9     0.892  ... -0.0805 -0.083  -0.083 ],[-0.1365 -0.1235 -0.1195 ... -0.054  -0.0455 -0.0445]
7,[-0.3255 -0.3245 -0.3215 ...  0.174   0.1745  0.171 ],[ 0.1215  0.1165  0.118  ... -0.174  -0.1745 -0.1725],[0.2105 0.2025 0.2025 ... 0.026  0.027  0.0325]
8,[-0.572  -0.577  -0.576  ...  0.384   0.3855  0.389 ],[-0.0385 -0.0385 -0.0405 ...  0.043   0.0445  0.0475],[-1.5065 -1.5115 -1.514  ...  1.12    1.1235  1.1305]
9,[-1.9765 -1.977  -1.9745 ...  0.7025  0.701   0.698 ],[ 0.725   0.7265  0.726  ... -0.125  -0.127  -0.125 ],[ 1.1725  1.1755  1.1775 ... -0.3565 -0.358  -0.359 ]
10,[-0.7245 -0.7215 -0.723  ... -0.4585 -0.4595 -0.459 ],[-0.0795 -0.099  -0.113  ... -0.028  -0.031  -0.0345],[-2.6525 -2.648  -2.6415 ...  0.2405  0.253   0.258 ]
11,[ 1.1865  1.1845  1.176  ... -1.031  -1.052  -1.1195],[ 0.2435  0.2395  0.2405 ... -0.813  -0.7485 -0.7065],[0.439  0.448  0.434  ... 0.476  0.4375 0.3405]
12,[-0.0085 -0.0065 -0.009  ...  0.1115  0.1045  0.0985],[ 0.0175  0.018   0.0165 ... -0.0985 -0.0965 -0.093 ],[-0.1825 -0.1845 -0.18   ...  0.3905  0.3935  0.402 ]
13,[-0.1425 -0.136  -0.1335 ...  0.053   0.046   0.0455],[0.0675 0.07   0.0695 ... 0.0115 0.013  0.0135],[-0.1125 -0.1145 -0.114  ...  0.322   0.3205  0.319 ]
14,[ 0.374   0.3675  0.371  ... -0.3735 -0.37   -0.3735],[ 0.073   0.0755  0.075  ... -0.12   -0.1195 -0.12  ],[ 0.009   0.0115  0.002  ... -0.003  -0.0155 -0.0195]
15,[-1.0265 -1.0325 -1.0315 ...  0.7825  0.7775  0.7745],[ 0.576   0.5785  0.572  ... -0.764  -0.767  -0.7705],[ 2.236   2.2235  2.2425 ... -0.805  -0.801  -0.793 ]
16,[-0.8955 -0.9005 -0.907  ...  0.9445  0.9435  0.9455],[-0.963  -0.9695 -0.969  ...  1.044   1.045   1.044 ],[0.047  0.04   0.036  ... 1.4775 1.4805 1.487 ]
17,[-0.3815 -0.3795 -0.377  ...  0.021   0.018   0.0145],[-0.4105 -0.4125 -0.4145 ...  0.26    0.263   0.265 ],[ 0.134   0.15    0.159  ... -0.1025 -0.1035 -0.107 ]
18,[ 0.329   0.323   0.3125 ... -0.6795 -0.679  -0.679 ],[ 0.6465  0.6245  0.6015 ... -0.149  -0.1485 -0.1485],[-1.336  -1.3375 -1.3465 ...  1.7715  1.7715  1.7765]
19,[-0.346  -0.362  -0.3765 ... -0.0485 -0.048  -0.0455],[-0.1465 -0.158  -0.1775 ... -0.981  -0.948  -0.9045],[-0.5045 -0.506  -0.5245 ...  0.3025  0.3035  0.3065]
20,[-0.3125 -0.32   -0.318  ...  0.2735  0.2695  0.268 ],[ 0.3045  0.3035  0.302  ... -0.431  -0.4345 -0.433 ],[-0.1985 -0.2075 -0.1975 ...  0.305   0.3045  0.3055]
21,[ 0.718   0.7215  0.7325 ... -0.2155 -0.2165 -0.2155],[ 0.2165  0.211   0.204  ... -0.098  -0.11   -0.1235],[-0.447  -0.434  -0.4465 ...  0.059   0.048   0.0315]
22,[ 0.133   0.152   0.1745 ... -0.188  -0.187  -0.186 ],[ 0.147   0.139   0.121  ... -0.2555 -0.253  -0.256 ],[-0.4015 -0.3935 -0.3795 ...  0.4295  0.429   0.4265]
23,[-0.1395 -0.1385 -0.1415 ...  0.1675  0.1735  0.173 ],[ 0.061   0.0625  0.062  ... -0.4785 -0.4875 -0.4925],[-0.2295 -0.2225 -0.2235 ... -0.8045 -0.7965 -0.8085]
24,[ 0.017   0.018   0.0155 ... -0.2145 -0.215  -0.2175],[-0.0225 -0.0145 -0.014  ...  0.0295  0.0285  0.027 ],[-0.3205 -0.3255 -0.3195 ...  0.3415  0.3425  0.346 ]
25,[-0.043  -0.047  -0.0455 ...  0.1865  0.189   0.1885],[-0.0455 -0.044  -0.0425 ... -0.275  -0.2725 -0.2675],[-2.0435 -2.0445 -2.0435 ...  0.641   0.643   0.641 ]
26,[-0.1455 -0.159  -0.1765 ... -0.184  -0.1855 -0.1875],[-0.024  -0.022  -0.017  ... -0.0925 -0.0965 -0.094 ],[-0.269  -0.3055 -0.3385 ...  0.1905  0.1915  0.194 ]
27,[ 0.2785  0.276   0.276  ... -0.4645 -0.461  -0.458 ],[ 0.157   0.1565  0.157  ... -0.243  -0.2425 -0.2425],[-0.6025 -0.609  -0.6115 ...  0.913   0.91    0.9115]
28,[ 0.817   0.8205  0.823  ... -0.838  -0.8375 -0.837 ],[-0.1715 -0.1835 -0.194  ...  0.0565  0.054   0.052 ],[-1.53   -1.525  -1.523  ...  1.207   1.208   1.2205]
29,[ 0.4595  0.4605  0.461  ... -0.6995 -0.6975 -0.6955],[0.018  0.0175 0.018  ... 0.021  0.0175 0.0175],[0.7765 0.776  0.777  ... 0.596  0.596  0.5985]
30,[-0.2665 -0.256  -0.2355 ...  0.1305  0.131   0.1255],[-0.112  -0.139  -0.1655 ... -0.1    -0.108  -0.106 ],[ 0.859   0.85    0.8545 ... -0.666  -0.665  -0.673 ]
31,[-0.617  -0.6505 -0.6455 ...  0.859   0.8585  0.8595],[ 0.1935  0.171   0.134  ... -0.081  -0.081  -0.0815],[-1.665  -1.6525 -1.654  ...  1.0645  1.069   1.0765]
32,[-3.1545 -3.148  -3.137  ...  4.903   4.902   4.899 ],[ 5.061   5.0695  5.0775 ... -4.4025 -4.409  -4.413 ],[-2.135  -2.145  -2.143  ...  1.111   1.1185  1.123 ]
33,[ 0.1305  0.1275  0.1275 ... -0.1735 -0.1685 -0.175 ],[-0.2515 -0.2505 -0.251  ...  0.1395  0.161   0.193 ],[0.0705 0.076  0.0785 ... 0.2635 0.277  0.296 ]
34,[-0.5015 -0.503  -0.504  ...  0.239   0.2345  0.231 ],[ 0.1475  0.15    0.1495 ... -0.123  -0.1235 -0.1215],[-0.355  -0.349  -0.3475 ...  0.5295  0.5285  0.521 ]
35,[-0.6355 -0.634  -0.6325 ...  0.9725  0.971   0.972 ],[0.659 0.664 0.691 ... 0.415 0.413 0.401],[-1.7245 -1.724  -1.726  ...  1.608   1.603   1.599 ]
36,[ 0.2765  0.276   0.2795 ... -0.218  -0.2175 -0.2165],[-0.1055 -0.108  -0.113  ...  0.0945  0.0935  0.0935],[-0.172  -0.1705 -0.168  ... -0.0595 -0.059  -0.0625]
37,[0.127  0.1255 0.127  ... 0.0235 0.012  0.0015],[ 0.1255  0.124   0.124  ... -0.0815 -0.081  -0.078 ],[-0.2945 -0.287  -0.2915 ...  0.7295  0.7235  0.7005]
38,[ 0.235   0.243   0.254  ... -0.1905 -0.196  -0.2005],[-0.008  -0.0095 -0.0115 ...  0.0525  0.053   0.0525],[-0.124  -0.119  -0.122  ...  0.112   0.1195  0.1145]
39,[-0.9695 -0.97   -0.9725 ...  1.0235  1.0195  1.015 ],[ 0.058   0.053   0.0525 ... -0.129  -0.1295 -0.1295],[-1.0185 -1.016  -1.016  ...  1.9025  1.88    1.8575]
40,[0.017  0.013  0.0095 ... 0.067  0.0735 0.074 ],[-0.014  -0.0105 -0.002  ...  0.096   0.0955  0.094 ],[ 0.1845  0.178   0.1835 ... -0.3425 -0.3225 -0.312 ]
41,[ 0.5445  0.5415  0.5425 ... -0.4115 -0.4135 -0.411 ],[-0.0455 -0.0445 -0.047  ... -0.0575 -0.057  -0.056 ],[0.197  0.1935 0.197  ... 0.0365 0.024  0.0175]
42,[-0.9445 -0.946  -0.94   ...  1.904   1.9005  1.8985],[-0.6205 -0.6145 -0.6135 ...  0.3555  0.351   0.352 ],[-0.1    -0.1045 -0.1025 ... -0.651  -0.6445 -0.6395]
43,[-0.5505 -0.551  -0.5515 ...  1.0625  1.0605  1.065 ],[ 0.418   0.4215  0.421  ... -0.301  -0.2835 -0.261 ],[-1.7185 -1.7125 -1.711  ...  2.194   2.1705  2.1455]
44,[-0.007  -0.01   -0.01   ...  0.0145  0.014   0.0095],[-0.1115 -0.114  -0.1165 ...  0.127   0.128   0.128 ],[-0.1055 -0.0965 -0.0795 ...  0.1245  0.12    0.123 ]
45,[ 0.5605  0.5565  0.5585 ... -0.5225 -0.525  -0.525 ],[-0.0655 -0.065  -0.066  ...  0.0645  0.0615  0.061 ],[-0.51   -0.5055 -0.5025 ...  0.694   0.701   0.7065]
46,[-0.748  -0.7515 -0.752  ...  0.358   0.3585  0.3545],[ 0.2525  0.2465  0.248  ... -0.237  -0.2325 -0.2325],[-0.4705 -0.4665 -0.4675 ...  1.0665  1.0615  1.0605]
47,[ 0.8255  0.827   0.835  ... -0.34   -0.3475 -0.353 ],[ 0.581   0.616   0.6545 ... -0.361  -0.3695 -0.3755],[-0.221  -0.26   -0.2925 ...  0.3005  0.296   0.2865]
48,[ 0.057   0.061   0.061  ... -0.0305 -0.028  -0.0245],[-0.009  -0.01   -0.0095 ... -0.0875 -0.0835 -0.089 ],[-1.8205 -1.818  -1.818  ...  1.7815  1.781   1.7945]
49,[-0.298  -0.2985 -0.301  ...  0.026   0.0305  0.0315],[ 0.048   0.0485  0.049  ... -0.1125 -0.111  -0.1115],[-1.048  -1.0485 -1.0515 ...  1.388   1.39    1.3865]
50,[ 0.8355  0.838   0.8335 ... -1.1595 -1.169  -1.168 ],[ 0.2545  0.255   0.2535 ... -0.2305 -0.233  -0.2355],[ 2.328   2.3315  2.3325 ... -2.386  -2.3865 -2.3995]
51,[ 0.295   0.2985  0.288  ... -0.409  -0.4115 -0.417 ],[ 0.2685  0.264   0.267  ... -0.3595 -0.366  -0.368 ],[-0.125  -0.1205 -0.137  ...  0.1825  0.1855  0.1905]
52,[-0.7065 -0.7125 -0.709  ...  1.0495  1.0465  1.042 ],[-0.0815 -0.0805 -0.0785 ... -0.0635 -0.0595 -0.0525],[ 1.9785  1.975   1.9705 ... -3.48   -3.477  -3.469 ]
53,[ 0.7025  0.697   0.693  ... -0.645  -0.647  -0.6455],[-0.0915 -0.093  -0.094  ...  0.258   0.2575  0.256 ],[-0.8   -0.807 -0.808 ...  0.473  0.467  0.465]
54,[ 0.655   0.654   0.648  ... -0.3185 -0.3235 -0.327 ],[ 0.3855  0.381   0.3795 ... -0.514  -0.517  -0.517 ],[1.184  1.175  1.161  ... 0.6365 0.6355 0.647 ]
55,[-3.369 -3.369 -3.374 ...  0.623  0.621  0.625],[ 2.5075  2.506   2.502  ... -0.587  -0.582  -0.5765],[-2.2765 -2.2635 -2.2605 ...  1.9435  1.939   1.9345]
56,[-0.9165 -0.9125 -0.912  ... -0.3315 -0.3315 -0.3305],[-0.214  -0.216  -0.2195 ... -0.504  -0.4955 -0.49  ],[-2.222 -2.227 -2.231 ...  3.232  3.223  3.217]
57,[-0.1795 -0.1795 -0.1795 ...  0.0715  0.0735  0.072 ],[ 0.2     0.199   0.1985 ... -0.226  -0.225  -0.2245],[-0.139  -0.141  -0.136  ... -0.3035 -0.3095 -0.3035]
58,[ 0.2925  0.296   0.299  ... -0.393  -0.394  -0.3985],[-0.1865 -0.1795 -0.176  ... -0.064  -0.0655 -0.067 ],[-0.084  -0.091  -0.0865 ...  0.235   0.2375  0.2375]
59,[ 1.666   1.6625  1.663  ... -1.2835 -1.2835 -1.286 ],[ 0.363   0.363   0.3625 ... -0.167  -0.167  -0.1675],[ 0.881   0.885   0.886  ... -1.1715 -1.173  -1.1735]
60,[-0.196  -0.191  -0.192  ...  0.404   0.401   0.3965],[0.0755 0.078  0.079  ... 0.032  0.035  0.035 ],[-0.594  -0.601  -0.602  ...  0.6585  0.6535  0.653 ]
61,[-0.412  -0.4095 -0.4015 ...  0.968   0.9715  0.973 ],[ 0.9555  0.9545  0.9535 ... -0.3855 -0.3855 -0.3845],[-0.3445 -0.3445 -0.3445 ... -0.471  -0.4645 -0.4635]
62,[-0.154  -0.1515 -0.148  ...  0.0255  0.028   0.0315],[ 0.182   0.1755  0.1805 ... -0.247  -0.244  -0.248 ],[ 1.0505  1.049   1.0485 ... -0.27   -0.2685 -0.267 ]
63,[-0.1575 -0.1595 -0.158  ...  0.0715  0.075   0.0755],[ 0.0315  0.03    0.0295 ... -0.0585 -0.059  -0.0595],[-0.357 -0.358 -0.358 ...  0.254  0.237  0.24 ]
64,[-0.1965 -0.198  -0.192  ...  0.2965  0.2925  0.293 ],[ 0.0675  0.0625  0.0595 ... -0.0725 -0.073  -0.07  ],[-0.225 -0.224 -0.235 ...  0.306  0.32   0.323]
65,[-3.8085 -3.8155 -3.8285 ...  1.5485  1.5545  1.5605],[-0.383  -0.386  -0.3875 ... -0.1    -0.1035 -0.1025],[-2.4575 -2.457  -2.458  ... -0.4565 -0.456  -0.462 ]
66,[-0.2275 -0.2225 -0.219  ...  0.284   0.282   0.287 ],[-0.231  -0.227  -0.22   ...  0.1735  0.1845  0.1855],[-0.1935 -0.2025 -0.217  ...  0.4085  0.403   0.3895]
67,[0.05   0.049  0.0475 ... 0.0875 0.085  0.085 ],[-0.2355 -0.2385 -0.2365 ...  0.105   0.105   0.105 ],[-1.3635 -1.359  -1.3555 ... -0.0845 -0.085  -0.0885]
68,[ 0.167   0.158   0.164  ... -0.3125 -0.302  -0.296 ],[-0.065  -0.07   -0.077  ... -0.0975 -0.097  -0.0975],[ 1.2655  1.2545  1.25   ... -0.962  -0.989  -1.0335]
69,[-0.563  -0.564  -0.5645 ...  0.122   0.124   0.129 ],[-0.8425 -0.846  -0.845  ...  0.93    0.93    0.9315],[ 1.1515  1.1645  1.1645 ... -0.214  -0.216  -0.207 ]
70,[-1.1315 -1.1385 -1.144  ...  3.1185  3.071   3.0055],[0.024  0.0295 0.0285 ... 0.8695 0.861  0.85  ],[-0.023  -0.014  -0.0235 ...  2.248   2.2285  2.207 ]
71,[-3.05   -3.051  -3.051  ...  0.5395  0.548   0.5715],[2.528  2.5295 2.532  ... 0.2535 0.257  0.2525],[-0.6055 -0.609  -0.606  ...  0.1365  0.131   0.1285]
72,[-0.32   -0.323  -0.325  ... -0.0105 -0.0115 -0.012 ],[ 0.224   0.212   0.2185 ... -0.238  -0.2395 -0.239 ],[-1.178  -1.177  -1.1765 ...  0.9695  0.969   0.9695]
73,[-0.445  -0.445  -0.443  ...  0.0925  0.096   0.097 ],[-0.201  -0.1885 -0.1905 ... -0.1065 -0.108  -0.1095],[-1.29   -1.2855 -1.2905 ...  0.3335  0.341   0.336 ]
74,[-0.1235 -0.1275 -0.128  ...  0.314   0.3195  0.3185],[ 0.795   0.802   0.8025 ... -0.6505 -0.6555 -0.661 ],[-0.046  -0.0555 -0.0535 ... -0.4785 -0.478  -0.478 ]
75,[-0.1635 -0.165  -0.17   ... -0.0755 -0.075  -0.071 ],[-0.46   -0.465  -0.4605 ... -0.039  -0.041  -0.0425],[ 0.021   0.0245  0.022  ... -0.203  -0.1925 -0.177 ]
76,[-0.016  -0.0175 -0.0225 ...  0.165   0.162   0.1575],[-0.048  -0.0455 -0.043  ... -0.2045 -0.2045 -0.203 ],[-0.0045 -0.0025 -0.0025 ...  0.4865  0.4935  0.483 ]
77,[ 0.871   0.8725  0.877  ... -1.629  -1.624  -1.6175],[0.114  0.122  0.125  ... 0.1115 0.111  0.113 ],[-0.2945 -0.3    -0.2975 ...  0.6775  0.678   0.679 ]
78,[-0.2355 -0.2365 -0.2415 ...  0.0935  0.0895  0.0885],[-0.0845 -0.085  -0.0895 ...  0.0845  0.0835  0.087 ],[0.307  0.2995 0.2895 ... 0.064  0.0615 0.044 ]
79,[-0.486  -0.4805 -0.4825 ... -0.5755 -0.573  -0.5715],[-0.0455 -0.034  -0.0135 ... -0.0465 -0.0435 -0.042 ],[ 2.7835  2.789   2.7855 ... -0.092  -0.0895 -0.0915]
80,[-0.198  -0.18   -0.169  ...  0.2625  0.27    0.2615],[-0.0045 -0.006  -0.016  ...  0.1505  0.149   0.1545],[-0.035  -0.037  -0.0315 ... -0.9475 -0.9315 -0.9395]
81,[-0.01   -0.01   -0.01   ...  0.0985  0.0995  0.0975],[ 0.5815  0.5855  0.5875 ... -0.487  -0.4865 -0.488 ],[ 0.002  -0.006  -0.01   ...  0.451   0.4495  0.4545]
82,[ 0.4495  0.4405  0.437  ... -0.4485 -0.4445 -0.437 ],[-0.1145 -0.1135 -0.1125 ...  0.0165  0.018   0.019 ],[ 0.006   0.0015 -0.013  ...  0.0715  0.0795  0.0875]
83,[ 1.131   1.131   1.133  ... -0.5535 -0.5515 -0.5515],[-0.346  -0.3485 -0.3465 ...  0.534   0.5345  0.5325],[-2.9195 -2.9155 -2.907  ...  0.49    0.49    0.494 ]
84,[-0.646  -0.3935 -0.159  ... -0.305  -0.3085 -0.3035],[-0.874  -0.848  -0.82   ...  0.1875  0.1855  0.1835],[-1.672  -1.6335 -1.614  ...  0.4035  0.395   0.4075]
85,[ 0.8365  0.8425  0.8465 ... -0.23   -0.232  -0.23  ],[ 1.914   1.913   1.914  ... -0.9495 -0.9485 -0.9565],[ 2.383   2.374   2.3645 ... -0.2855 -0.2855 -0.29  ]
86,[-0.5135 -0.519  -0.526  ...  0.5375  0.5385  0.542 ],[0.095  0.0855 0.0855 ... 0.0515 0.0485 0.051 ],[-0.968  -0.974  -0.9825 ...  1.4635  1.4745  1.472 ]
87,[0.2185 0.2245 0.231  ... 0.226  0.225  0.229 ],[ 0.285   0.278   0.274  ... -0.41   -0.4075 -0.408 ],[-0.49   -0.49   -0.4845 ...  0.412   0.407   0.399 ]
88,[-0.4515 -0.4505 -0.4495 ...  0.327   0.327   0.326 ],[ 0.5225  0.5145  0.505  ... -0.347  -0.3455 -0.344 ],[-1.063  -1.0605 -1.061  ...  0.294   0.2985  0.3045]
89,[-0.337  -0.339  -0.3425 ...  0.2585  0.258   0.2555],[ 0.4185  0.427   0.4205 ... -0.587  -0.589  -0.594 ],[0.1105 0.106  0.113  ... 0.0245 0.0215 0.0195]
